aaa,9575618,294,8551,31021
aab,9936297,290,8489,24487
aac,9622891,100,9290,11749
aad,9953745,262,9477,29359
aae,9896883,236,7117,22313
aaf,9958293,164,9464,10986
aag,9912121,497,7937,33588
aba,9972052,444,7191,33821
abb,9969990,190,8085,16343
abc,9960948,116,9486,9302
abd,9775993,488,8063,36881
abe,9579366,187,9262,15361
abf,9995922,250,9006,14243
abg,9681788,15,9413,870
aca,9916745,170,8656,13184
acb,9738042,79,10117,4892
acc,9802807,954,6741,60444
acd,9980637,363,8056,30957
ace,9927254,66,7509,5755
acf,9822451,304,7449,18764
acg,9980582,50,8298,3190
ada,9916572,93,9457,6689
adb,9950427,272,9164,15736
adc,9996727,339,7453,23659
add,9925947,118,7393,11249
ade,9911783,91,9660,4950
adf,9803486,289,7591,19632
adg,9971000,298,7711,32182
aea,9819745,291,8546,22923
aeb,9956421,78,9565,6799
aec,9865101,82,7028,4142
aed,9972350,21,8087,1320
aee,9924218,215,7613,16719
aef,9896427,111,9105,7054
aeg,9782767,252,6947,17629
afa,9980273,358,8750,36297
afb,9769026,90,9463,9688
afc,9754570,83,8209,6291
afd,9794037,190,7484,15276
afe,9793376,106,7599,6974
aff,9819826,394,8243,25443
afg,9569659,467,8174,29808
aga,9892546,7,10197,775
agb,9888884,22,9183,1627
agc,9871690,217,9232,23068
agd,9730698,373,9328,32720
age,9742961,632,9325,54615
agf,9908390,79,11086,8127
agg,9648697,18,9611,946
baa,9887252,332,10222,32761
bab,9930848,24,9058,1140
bac,9928257,135,8771,15353
bad,9999007,253,9559,25902
bae,9682526,13,8042,815
baf,9959768,270,8030,13206
bag,9985226,207,8732,15563
bba,9910872,27,9884,1645
bbb,9940601,363,10685,34259
bbc,9684433,156,7399,9053
bbd,9919767,315,8411,17400
bbe,9980197,10,8634,772
bbf,9809014,66,9161,1679
bbg,9936607,224,8302,15937
bca,9868042,298,8555,16745
bcb,9743635,235,9369,11382
bcc,9931412,17,8953,847
bcd,9467509,58,9445,2443
bce,9878768,55,10171,3195
bcf,9931257,224,8769,10821
bcg,9699580,194,8980,22738
bda,9515715,109,9328,10640
bdb,9472446,65,8594,4428
bdc,9845174,70,9329,7720
bdd,9898626,440,9227,44149
bde,9406153,198,8404,12011
bdf,9832262,863,7097,76764
bdg,9764691,59,8599,2439
bea,9859332,300,9357,24491
beb,9783370,63,9852,5641
bec,9777569,1131,9682,81723
bed,9743677,488,8519,39595
bee,9342832,63,10375,4453
bef,9892373,5,8161,691
beg,9780544,658,8550,52198
bfa,9333346,254,9947,30042
bfb,9806708,353,7212,29398
bfc,9827358,182,9338,6677
bfd,9817332,167,6214,12702
bfe,9789311,196,8297,14221
bff,9958127,252,8828,9445
bfg,9951815,179,7300,13803
bga,9797316,136,9050,7851
bgb,9965578,226,9100,15252
bgc,9807935,182,9808,10608
bgd,9313276,237,8854,14496
bge,9739388,363,9655,30276
bgf,9975787,35,9809,1862
bgg,9789357,253,7728,15921
caa,9985338,501,9309,41900
